#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
239.4	0.70307	0.74139	0.80027
239.5	0.7032	0.74151	0.80041
239.6	0.70333	0.74164	0.80056
239.7	0.70346	0.74177	0.8007
239.8	0.70359	0.74189	0.80084
239.9	0.70372	0.74202	0.80098
240	0.70385	0.74214	0.80113
240.1	0.70397	0.74227	0.80127
240.2	0.7041	0.7424	0.80141
240.3	0.70423	0.74252	0.80155
240.4	0.70435	0.74265	0.80169
240.5	0.70448	0.74278	0.80183
240.6	0.70461	0.74291	0.80197
240.7	0.70473	0.74303	0.80211
240.8	0.70485	0.74316	0.80225
240.9	0.70498	0.74329	0.8024
241	0.7051	0.74342	0.80254
241.1	0.70523	0.74355	0.80268
241.2	0.70535	0.74368	0.80282
241.3	0.70547	0.7438	0.80296
241.4	0.70559	0.74393	0.80309
241.5	0.70572	0.74406	0.80323
241.6	0.70584	0.74419	0.80337
241.7	0.70596	0.74432	0.80351
241.8	0.70608	0.74445	0.80365
241.9	0.7062	0.74458	0.80379
242	0.70632	0.74471	0.80393
242.1	0.70644	0.74485	0.80407
242.2	0.70656	0.74498	0.80421
242.3	0.70668	0.74511	0.80434
242.4	0.70679	0.74524	0.80448
242.5	0.70691	0.74537	0.80462
242.6	0.70703	0.7455	0.80476
242.7	0.70715	0.74563	0.8049
242.8	0.70726	0.74577	0.80503
242.9	0.70738	0.7459	0.80517
243	0.7075	0.74603	0.80531
243.1	0.70761	0.74616	0.80545
243.2	0.70773	0.7463	0.80558
243.3	0.70784	0.74643	0.80572
243.4	0.70796	0.74656	0.80586
243.5	0.70807	0.7467	0.80599
243.6	0.70819	0.74683	0.80613
243.7	0.7083	0.74696	0.80627
243.8	0.70841	0.7471	0.8064
243.9	0.70853	0.74723	0.80654
244	0.70864	0.74736	0.80668
244.1	0.70875	0.7475	0.80681
244.2	0.70886	0.74763	0.80695
244.3	0.70898	0.74777	0.80708
244.4	0.70909	0.7479	0.80722
244.5	0.7092	0.74803	0.80736
244.6	0.70931	0.74817	0.80749
244.7	0.70942	0.7483	0.80763
244.8	0.70953	0.74844	0.80776
244.9	0.70964	0.74857	0.8079
245	0.70975	0.7487	0.80803
245.1	0.70986	0.74884	0.80817
245.2	0.70997	0.74897	0.8083
245.3	0.71008	0.74911	0.80844
245.4	0.71019	0.74924	0.80857
245.5	0.7103	0.74937	0.80871
245.6	0.71041	0.74951	0.80884
245.7	0.71052	0.74964	0.80898
245.8	0.71062	0.74977	0.80911
245.9	0.71073	0.74991	0.80924
246	0.71084	0.75004	0.80938
246.1	0.71095	0.75017	0.80951
246.2	0.71105	0.75031	0.80965
246.3	0.71116	0.75044	0.80978
246.4	0.71127	0.75057	0.80991
246.5	0.71137	0.7507	0.81005
246.6	0.71148	0.75084	0.81018
246.7	0.71159	0.75097	0.81032
246.8	0.71169	0.7511	0.81045
246.9	0.7118	0.75123	0.81058
247	0.7119	0.75136	0.81072
247.1	0.71201	0.75149	0.81085
247.2	0.71211	0.75162	0.81098
247.3	0.71222	0.75175	0.81111
247.4	0.71232	0.75188	0.81125
247.5	0.71243	0.75201	0.81138
247.6	0.71253	0.75214	0.81151
247.7	0.71264	0.75227	0.81165
247.8	0.71274	0.7524	0.81178
247.9	0.71285	0.75253	0.81191
248	0.71295	0.75266	0.81204
248.1	0.71305	0.75279	0.81218
248.2	0.71316	0.75291	0.81231
248.3	0.71326	0.75304	0.81244
248.4	0.71336	0.75317	0.81257
248.5	0.71347	0.75329	0.81271
248.6	0.71357	0.75342	0.81284
248.7	0.71367	0.75354	0.81297
248.8	0.71378	0.75367	0.8131
248.9	0.71388	0.75379	0.81323
249	0.71398	0.75392	0.81336
249.1	0.71409	0.75404	0.8135
249.2	0.71419	0.75416	0.81363
249.3	0.71429	0.75428	0.81376
249.4	0.71439	0.75441	0.81389
249.5	0.7145	0.75453	0.81402
249.6	0.7146	0.75465	0.81415
249.7	0.7147	0.75477	0.81428
249.8	0.71481	0.75489	0.81442
249.9	0.71491	0.75501	0.81455
250	0.71501	0.75513	0.81468
250.1	0.71511	0.75525	0.81481
250.2	0.71522	0.75536	0.81494
250.3	0.71532	0.75548	0.81507
250.4	0.71542	0.7556	0.8152
250.5	0.71552	0.75571	0.81533
250.6	0.71563	0.75583	0.81546
250.7	0.71573	0.75595	0.81559
250.8	0.71583	0.75606	0.81572
250.9	0.71593	0.75618	0.81585
251	0.71604	0.75629	0.81598
251.1	0.71614	0.7564	0.81611
251.2	0.71624	0.75651	0.81624
251.3	0.71634	0.75663	0.81637
251.4	0.71645	0.75674	0.8165
251.5	0.71655	0.75685	0.81663
251.6	0.71665	0.75696	0.81676
251.7	0.71676	0.75707	0.81689
251.8	0.71686	0.75718	0.81702
251.9	0.71696	0.75729	0.81715
252	0.71707	0.7574	0.81728
252.1	0.71717	0.75751	0.81741
252.2	0.71727	0.75761	0.81754
252.3	0.71738	0.75772	0.81767
252.4	0.71748	0.75783	0.8178
252.5	0.71758	0.75793	0.81793
252.6	0.71769	0.75804	0.81806
252.7	0.71779	0.75814	0.81819
252.8	0.7179	0.75825	0.81831
252.9	0.718	0.75835	0.81844
253	0.71811	0.75845	0.81857
253.1	0.71821	0.75856	0.8187
253.2	0.71832	0.75866	0.81883
253.3	0.71842	0.75876	0.81896
253.4	0.71853	0.75886	0.81909
253.5	0.71863	0.75897	0.81921
253.6	0.71874	0.75907	0.81934
253.7	0.71884	0.75917	0.81947
253.8	0.71895	0.75927	0.8196
253.9	0.71906	0.75937	0.81973
254	0.71916	0.75947	0.81985
254.1	0.71927	0.75956	0.81998
254.2	0.71938	0.75966	0.82011
254.3	0.71948	0.75976	0.82024
254.4	0.71959	0.75986	0.82036
254.5	0.7197	0.75996	0.82049
254.6	0.71981	0.76005	0.82062
254.7	0.71991	0.76015	0.82075
254.8	0.72002	0.76025	0.82087
254.9	0.72013	0.76034	0.821
255	0.72024	0.76044	0.82113
255.1	0.72035	0.76054	0.82125
255.2	0.72046	0.76063	0.82138
255.3	0.72057	0.76073	0.82151
255.4	0.72068	0.76082	0.82164
255.5	0.72079	0.76092	0.82176
255.6	0.7209	0.76101	0.82189
255.7	0.72101	0.76111	0.82201
255.8	0.72112	0.7612	0.82214
255.9	0.72123	0.76129	0.82227
256	0.72134	0.76139	0.82239
256.1	0.72145	0.76148	0.82252
256.2	0.72156	0.76158	0.82264
256.3	0.72167	0.76167	0.82277
256.4	0.72179	0.76176	0.8229
256.5	0.7219	0.76186	0.82302
256.6	0.72201	0.76195	0.82315
256.7	0.72213	0.76204	0.82327
256.8	0.72224	0.76214	0.8234
256.9	0.72235	0.76223	0.82352
257	0.72247	0.76232	0.82365
257.1	0.72258	0.76242	0.82377
257.2	0.72269	0.76251	0.8239
257.3	0.72281	0.7626	0.82402
257.4	0.72292	0.7627	0.82415
257.5	0.72304	0.76279	0.82427
257.6	0.72315	0.76288	0.8244
257.7	0.72327	0.76298	0.82452
257.8	0.72339	0.76307	0.82464
257.9	0.7235	0.76316	0.82477
258	0.72362	0.76326	0.82489
258.1	0.72373	0.76335	0.82502
258.2	0.72385	0.76345	0.82514
258.3	0.72397	0.76354	0.82526
258.4	0.72409	0.76364	0.82539
258.5	0.7242	0.76373	0.82551
258.6	0.72432	0.76383	0.82563
258.7	0.72444	0.76392	0.82576
258.8	0.72456	0.76402	0.82588
258.9	0.72468	0.76411	0.826
259	0.72479	0.76421	0.82612
259.1	0.72491	0.7643	0.82625
259.2	0.72503	0.7644	0.82637
259.3	0.72515	0.7645	0.82649
259.4	0.72527	0.76459	0.82661
259.5	0.72539	0.76469	0.82674
259.6	0.72551	0.76479	0.82686
259.7	0.72563	0.76489	0.82698
259.8	0.72575	0.76499	0.8271
259.9	0.72587	0.76508	0.82722
260	0.72599	0.76518	0.82734
260.1	0.72611	0.76528	0.82747
260.2	0.72623	0.76538	0.82759
260.3	0.72636	0.76548	0.82771
260.4	0.72648	0.76558	0.82783
260.5	0.7266	0.76568	0.82795
260.6	0.72672	0.76579	0.82807
260.7	0.72684	0.76589	0.82819
260.8	0.72696	0.76599	0.82831
260.9	0.72709	0.76609	0.82843
261	0.72721	0.7662	0.82855
261.1	0.72733	0.7663	0.82867
261.2	0.72745	0.7664	0.82879
261.3	0.72757	0.76651	0.82891
261.4	0.7277	0.76661	0.82903
261.5	0.72782	0.76672	0.82915
261.6	0.72794	0.76682	0.82927
261.7	0.72806	0.76693	0.82939
261.8	0.72819	0.76704	0.82951
261.9	0.72831	0.76714	0.82963
262	0.72843	0.76725	0.82975
262.1	0.72855	0.76736	0.82987
262.2	0.72868	0.76747	0.82998
262.3	0.7288	0.76758	0.8301
262.4	0.72892	0.76769	0.83022
262.5	0.72904	0.7678	0.83034
262.6	0.72917	0.76791	0.83046
262.7	0.72929	0.76802	0.83057
262.8	0.72941	0.76813	0.83069
262.9	0.72953	0.76824	0.83081
263	0.72966	0.76835	0.83093
263.1	0.72978	0.76847	0.83104
263.2	0.7299	0.76858	0.83116
263.3	0.73002	0.7687	0.83128
263.4	0.73015	0.76881	0.83139
263.5	0.73027	0.76893	0.83151
263.6	0.73039	0.76904	0.83163
263.7	0.73051	0.76916	0.83174
263.8	0.73063	0.76927	0.83186
263.9	0.73076	0.76939	0.83197
264	0.73088	0.76951	0.83209
264.1	0.731	0.76963	0.83221
264.2	0.73112	0.76974	0.83232
264.3	0.73124	0.76986	0.83244
264.4	0.73136	0.76998	0.83255
264.5	0.73148	0.7701	0.83267
264.6	0.7316	0.77022	0.83278
264.7	0.73172	0.77034	0.8329
264.8	0.73184	0.77046	0.83301
264.9	0.73196	0.77058	0.83312
265	0.73208	0.77071	0.83324
265.1	0.7322	0.77083	0.83335
265.2	0.73232	0.77095	0.83347
