#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
636.97	0.6915	0.7939	0.9349
637.9699	0.6921	0.7946	0.9349
638.9698	0.6927	0.7956	0.9353
639.9698	0.6934	0.7964	0.9356
640.9697	0.6942	0.7971	0.9356
641.9696	0.6951	0.7979	0.9367
642.9696	0.6969	0.7999	0.937
643.9695	0.698	0.8009	0.9373
644.9694	0.6988	0.8024	0.938
645.9694	0.6992	0.8043	0.939
646.9693	0.6998	0.8057	0.9398
647.9692	0.7006	0.8063	0.9401
648.9692	0.7012	0.8068	0.9407
649.9691	0.7012	0.8072	0.9413
650.969	0.7016	0.8081	0.9413
651.969	0.7014	0.8079	0.9423
652.9689	0.7013	0.8085	0.9434
653.9689	0.7013	0.8089	0.9437
654.9688	0.7014	0.8088	0.944
655.9687	0.7008	0.8085	0.9439
656.9686	0.6997	0.8081	0.9438
657.9686	0.6994	0.8075	0.9433
658.9685	0.6997	0.8076	0.9433
659.9684	0.6998	0.8081	0.9433
660.9684	0.7002	0.8085	0.943
661.9683	0.701	0.8091	0.943
662.9683	0.702	0.8098	0.9434
663.9681	0.7028	0.81	0.9431
664.9681	0.7037	0.8107	0.9432
665.968	0.7052	0.812	0.944
666.968	0.7062	0.814	0.9452
667.9679	0.7072	0.815	0.9455
668.9678	0.7078	0.8156	0.9455
669.9678	0.7086	0.8166	0.9458
670.9677	0.7096	0.8175	0.9459
671.9677	0.7105	0.8185	0.9465
672.9675	0.7111	0.8195	0.9471
673.9675	0.712	0.8205	0.9474
674.9674	0.7124	0.8212	0.9472
675.9673	0.7134	0.821	0.9465
676.9673	0.714	0.822	0.9466
677.9672	0.7152	0.8229	0.9475
678.9672	0.7159	0.8234	0.9477
679.967	0.7168	0.8243	0.9481
680.967	0.7172	0.8252	0.948
681.9669	0.7186	0.8268	0.9483
682.9669	0.7201	0.8283	0.9493
683.9668	0.7214	0.8294	0.9497
684.9667	0.7221	0.8308	0.9505
685.9667	0.7233	0.8318	0.9512
686.9666	0.7245	0.8331	0.9515
687.9666	0.7257	0.8343	0.9523
688.9664	0.7266	0.8354	0.9532
689.9664	0.7274	0.8358	0.9536
690.9663	0.7277	0.8358	0.954
691.9663	0.728	0.8359	0.9541
692.9662	0.7286	0.8367	0.9553
693.9661	0.7291	0.8378	0.9563
694.9661	0.7294	0.8383	0.9564
695.966	0.7299	0.8387	0.9569
696.9659	0.7305	0.8396	0.9575
697.9658	0.731	0.84	0.9577
698.9658	0.7318	0.8408	0.9582
699.9657	0.7329	0.8417	0.9585
700.9657	0.7335	0.8422	0.9588
701.9656	0.7343	0.8429	0.959
702.9655	0.735	0.8435	0.9588
703.9655	0.7356	0.844	0.9587
704.9654	0.7365	0.845	0.9589
705.9653	0.7377	0.8453	0.9588
706.9653	0.7385	0.8462	0.9592
707.9652	0.7392	0.8468	0.9592
708.9651	0.7402	0.8477	0.96
709.965	0.7416	0.849	0.9607
710.965	0.7424	0.8497	0.9602
711.9649	0.7429	0.8499	0.9602
712.9648	0.744	0.8509	0.9611
713.9648	0.7452	0.8514	0.9613
714.9647	0.7459	0.8518	0.9611
715.9647	0.7465	0.8522	0.9612
716.9646	0.7468	0.8527	0.9616
717.9645	0.7476	0.8533	0.9615
718.9644	0.7481	0.8539	0.9614
719.9644	0.7492	0.8544	0.962
720.9643	0.7502	0.8554	0.9624
721.9642	0.7512	0.8558	0.9624
722.9642	0.7514	0.8561	0.9619
723.9641	0.7518	0.857	0.9623
724.9641	0.7528	0.8578	0.962
725.964	0.754	0.8585	0.9614
726.9639	0.7545	0.8589	0.961
727.9638	0.7551	0.8594	0.9608
728.9637	0.7557	0.8601	0.9608
729.9637	0.7567	0.8608	0.9608
