# Database of dielectric index for different materials for plasmonic applications						Make tables for these combinations							
# 1	2	3	4	5	6	7	8	9	10	11	12	13	14
# Material	Bandgap(eV)/EF	wavelength	Real(eps)	Imag(eps)	MainProperty	SPPdecayDeptAir	SPPdecayLength	Lifetime	AtomicMass(uma)	MeltingTemperature	BoilingTemperature	CriticalPoint[VE_Fortov_ThePhysicsOfNon-idealPlasma]	HeatConductivity300K(W/m/K)
#Nb (Golovashkin 1969)	-1000	800	-10.62	15.785	?	?	?	?	?	?	?	?	?
Ni (Palik)	-1000	1064	-18.640392553	30.0456407203	SPP-friendly	?	?	?	58.6934	1727	3095	10330	91
Ni (Palik)	-1000	1030	-17.8077402901	28.97412511	SPP-friendly	?	?	?	58.6934	1727	3095	10330	91
Ni (Palik)	-1000	800	-13.0366147737	21.7290792445	SPP-friendly	?	?	?	58.6934	1727	3095	10330	91
Ni (Palik)	-1000	532	-6.8989018646	10.9432968494	SPP-friendly	?	?	?	58.6934	1727	3095	10330	91
Ni (Palik)	?	515	-6.3891188886	10.4124458526	?	?	?	?	?	1727	3095	10330	91
Ni (Palik)	-1000	400	-2.9793411362	7.6004559256	SPP-friendly	?	?	?	58.6934	1727	3095	10330	91
# Ni (Johnson 1974)	-1000	400	-3.7755	8.8988	SPP-friendly	?	?	?	58.6934	1727	3095	10330	91
# Ni (Johnson 1974)	-1000	800	-19.017	21.7031	SPP-friendly	?	?	?	58.6934	1727	3095	10330	91
# Ni (Johnson 1974)	-1000	1030	-26.167	29.222	SPP-friendly	?	?	?	58.6934	1727	3095	10330	91
Pt (Palik)	?	1030	-22.3711786863	41.8216862468	?	?	?	?	?	2045	4100	14330	72
Pt (Palik)	-1000	800	-16.4677527696	28.105001226	?	?	?	?	195.078	2045	4100	14330	72
Pt (Palik)	?	515	-8.3674402558	14.2972059336	?	?	?	?	?	2045	4100	14330	72
Pt (Palik)	-1000	400	-5.108912402	9.7717726314	?	?	?	?	195.078	2045	4100	14330	72
#Pt (Rakic 1998)	-1000	800	-16.449	28.362	?	?	?	?	195.078	2045	4100	14330	72
#Pt (Rakic 1998)	-1000	400	-5.118	9.844	?	?	?	?	195.078	2045	4100	14330	72
a-Si (Palik)	1000	1064	12.9374714684	0	?	?	?	?	28.0855	?	?	?	?
a-Si (Palik)	1000	1030	13.0522658011	0	?	?	?	?	28.0855	?	?	?	?
a-Si (Palik)	1000	800	15.1665005819	0.85202035	?	?	?	?	28.0855	?	?	?	?
a-Si (Palik)	1000	532	18.830001168	7.7688711797	?	?	?	?	28.0855	?	?	?	?
a-Si (Palik)	?	515	18.9369203048	8.7481704684	?	?	?	?	?	?	?	?	?
a-Si (Palik)	1000	400	13.3894875163	18.839368447	?	?	?	?	28.0855	?	?	?	?
Si (Palik)	1.12	1064	12.6893281	0.0067935529	?	?	?	?	28.0855	?	?	?	?
Si (Palik)	1.12	1030	12.80259	0.0109	?	?	?	?	28.0855	?	?	?	?
Si (Palik)	1.12	1000	12.902948	0.014685	?	?	?	?	28.0855	?	?	?	?
Si (Palik)	1.12	800	13.6338991279	0.0479330857	?	?	?	?	28.0855	?	?	?	?
Si (Palik)	1.12	532	17.2203194249	0.3647867245	?	?	?	?	28.0855	?	?	?	?
Si (Palik)	1.12	515	17.8251990451	0.5066899508	?	?	?	?	?	?	?	?	?
Si (Palik)	1.12	400	30.8542847158	4.300769121	?	?	?	?	28.0855	?	?	?	?
#l-Si (Gellison)	1.12	1064	-16.92943996	62.91836213	?	?	?	?	28.0855	?	?	?	?
#l-Si (Gellison)	1.12	1030	-16.90553111	60.8265925	?	?	?	?	28.0855	?	?	?	?
#l-Si (Gellison)	1.12	800	-16.65927254	46.59419926	?	?	?	?	28.0855	?	?	?	?
#l-Si (Gellison)	1.12	532	-15.91949225	29.6871163	?	?	?	?	28.0855	?	?	?	?
#l-Si (Gellison)	1.12	400	-14.99576095	21.10250214	?	?	?	?	28.0855	?	?	?	?
#Si (Aspnes 1983)	1.12	800	13.646	0.048345	?	?	?	?	28.0855	?	?	?	?
# Si (Aspnes 1983)	1.12	532	17.2364	0.43004	?	?	?	?	28.0855	?	?	?	?
# Si (Aspnes 1983)	1.12	343	18.8384	31.6251	?	?	?	?	?	?	?	?	?
# Si (Aspnes 1983)	1.12	400	30.8469	4.2994	?	?	?	?	?	?	?	?	?
SiC (Palik)	3	1064	6.675168	0	Anisotropic	?	?	?	40.0962	?	?	?	?
SiC (Palik)	3	1030	6.6858008068	0	Anisotropic	?	?	?	40.0962	?	?	?	?
SiC (Palik)	3	800	6.7763991511	0	Anisotropic	?	?	?	40.0962	?	?	?	?
SiC (Palik)	3	532	7.1305054229	0	Anisotropic	?	?	?	40.0962	?	?	?	?
SiC (Palik)	3	515	7.1767099556	0	?	?	?	?	?	?	?	?	?
SiC (Palik)	3	400	7.6448205475	0.0010522496	Anisotropic	?	?	?	40.0962	?	?	?	?
# SiO2 (Malitson 1965)	7.8	1060	2.10163009	0	?	?	?	?	?	?	?	?	?
SiO2 (Palik)	7.8	1064	2.1014561254	0	?	?	?	?	60.0843	?	?	?	?
SiO2 (Palik)	7.8	1030	2.1026565205	0	?	?	?	?	60.0843	?	?	?	?
