# C_CrxOy	e_real	e_imag	R	alpha	1/alpha
#				nm-1	nm
0.107	6.1663874931931	18.968244698062	0.486966	0.0321482	31.1059406125382
0.108	6.2000748133194	18.90705842799	0.486199	0.0320531	31.1982304363696
0.109	6.2332966939146	18.845947439626	0.485432	0.0319583	31.2907757922042
0.11	6.2660566397565	18.784914959939	0.484667	0.0318639	31.3834778542489
0.111	6.2983581604364	18.723964152031	0.483903	0.0317698	31.476433594168
0.112	6.3302047694705	18.663098115733	0.483141	0.031676	31.5696426316454
0.113	6.3615999834315	18.602319888222	0.48238	0.0315826	31.6630043125012
0.114	6.3925473211009	18.541632444633	0.48162	0.0314895	31.7566172851268
0.115	6.4230503026419	18.481038698678	0.480862	0.0313967	31.850481101517
0.116	6.4531124487911	18.420541503276	0.480105	0.0313042	31.9445952939222
0.117	6.4827372800717	18.360143651184	0.479349	0.0312121	32.0388567254366
0.118	6.5119283160249	18.299847875626	0.478595	0.0311204	32.1332630685981
0.119	6.5406890744615	18.239656850939	0.477842	0.0310289	32.2280196848744
0.12	6.5690230707322	18.179573193207	0.477091	0.0309378	32.3229188888673
0.121	6.5969338170177	18.119599460914	0.47634	0.030847	32.4180633448958
0.122	6.6244248216361	18.059738155586	0.475591	0.0307566	32.5133467288322
0.123	6.6514995883703	17.99999172244	0.474844	0.0306665	32.6088728743091
0.124	6.6781616158129	17.940362551039	0.474098	0.0305767	32.7046411156207
0.125	6.7044143967287	17.880852975944	0.473353	0.0304873	32.800543176995
0.126	6.7302614174365	17.821465277365	0.472609	0.0303982	32.8966846721187
0.127	6.7557061572064	17.762201681821	0.471867	0.0303094	32.9930648577669
0.128	6.7807520876761	17.70306436279	0.471126	0.030221	33.0895734753979
0.129	6.8054026722836	17.64405544137	0.470387	0.0301329	33.1863179448377
0.13	6.8296613657165	17.58517698693	0.469649	0.0300451	33.2832974428443
0.131	6.853531613378	17.526431017769	0.468912	0.0299577	33.380399696906
0.132	6.8770168508694	17.467819501768	0.468177	0.0298706	33.4777339591438
